epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,5820.57,0.72032,0.45152,1.01585,0.99975,0.99896,0.995,0.94672,0.40519,0.2153,0.83394,0.0049675,0.0049675,0.0049675
63,5914.05,0.71639,0.44597,1.0111,0.9998,0.99896,0.995,0.94868,0.39895,0.21152,0.83163,0.004885,0.004885,0.004885
64,6006.7,0.72005,0.4457,1.0131,0.99923,0.99896,0.995,0.94981,0.39662,0.20836,0.82984,0.0048025,0.0048025,0.0048025
65,6098.38,0.71337,0.44258,1.00223,0.99887,0.99844,0.995,0.94962,0.39395,0.20978,0.82898,0.00472,0.00472,0.00472
66,6189.32,0.71565,0.4404,1.01057,0.99945,0.99896,0.995,0.95027,0.39147,0.20723,0.82802,0.0046375,0.0046375,0.0046375
67,6281.73,0.71048,0.44346,1.0068,0.99948,0.9983,0.995,0.95025,0.39005,0.20682,0.82654,0.004555,0.004555,0.004555
68,6373.28,0.72643,0.44562,1.01761,0.99885,0.99844,0.995,0.95163,0.39348,0.20846,0.83065,0.0044725,0.0044725,0.0044725
69,6465.98,0.70725,0.44222,1.00582,0.99896,0.99945,0.995,0.95233,0.38693,0.20645,0.82811,0.00439,0.00439,0.00439
70,6557.93,0.69933,0.43372,1.00232,0.99931,0.99896,0.995,0.95129,0.38675,0.20292,0.82714,0.0043075,0.0043075,0.0043075
71,6649.83,0.69589,0.43698,1.00028,0.99948,0.99886,0.995,0.95302,0.3843,0.20509,0.82657,0.004225,0.004225,0.004225
72,6741.35,0.6958,0.4259,0.99812,0.99932,0.99896,0.995,0.95403,0.38542,0.20297,0.826,0.0041425,0.0041425,0.0041425
73,6833.18,0.68402,0.42355,0.99683,0.99957,0.99844,0.995,0.95164,0.38602,0.20167,0.82746,0.00406,0.00406,0.00406
74,6925.34,0.70127,0.43439,1.01143,0.99932,0.99948,0.995,0.95528,0.38142,0.2033,0.82621,0.0039775,0.0039775,0.0039775
75,7017.34,0.70084,0.43893,1.00277,0.99945,0.99896,0.995,0.95359,0.38506,0.20368,0.82583,0.003895,0.003895,0.003895
76,7109.78,0.69875,0.42789,1.00329,0.99889,0.99948,0.995,0.95372,0.382,0.20066,0.82588,0.0038125,0.0038125,0.0038125
77,7203.16,0.67081,0.41788,0.99151,0.99986,0.99896,0.995,0.95257,0.37722,0.19856,0.82453,0.00373,0.00373,0.00373
78,7300.07,0.68966,0.42633,1.00345,0.99944,0.99896,0.995,0.95409,0.37646,0.19744,0.82413,0.0036475,0.0036475,0.0036475
79,7393.44,0.67544,0.4261,0.99324,0.99941,0.99844,0.995,0.95476,0.37379,0.19541,0.82022,0.003565,0.003565,0.003565
80,7486.79,0.68676,0.42403,0.99752,0.99896,0.99947,0.995,0.9567,0.36932,0.19322,0.81954,0.0034825,0.0034825,0.0034825
81,7581.62,0.67228,0.42185,0.98909,0.99894,0.99896,0.995,0.95675,0.36921,0.19434,0.81942,0.0034,0.0034,0.0034
82,7673.94,0.67099,0.40913,0.9863,0.99886,0.99844,0.995,0.95708,0.36981,0.19261,0.81922,0.0033175,0.0033175,0.0033175
83,7766.47,0.67248,0.41307,0.98742,0.99948,0.99857,0.995,0.95717,0.36854,0.19103,0.81864,0.003235,0.003235,0.003235
84,7858.76,0.67881,0.42045,0.99829,0.99948,0.99889,0.995,0.957,0.36711,0.19082,0.81754,0.0031525,0.0031525,0.0031525
85,7951.25,0.64925,0.40279,0.97361,1,0.99883,0.995,0.95681,0.36765,0.19066,0.81715,0.00307,0.00307,0.00307
86,8044.28,0.66204,0.41023,0.98754,1,0.99882,0.995,0.95844,0.3637,0.18881,0.81618,0.0029875,0.0029875,0.0029875
87,8136.99,0.65638,0.4022,0.9834,0.99896,0.99946,0.995,0.95725,0.36362,0.18792,0.81593,0.002905,0.002905,0.002905
88,8229.69,0.65507,0.40022,0.97952,0.99948,0.99947,0.995,0.95785,0.36127,0.18782,0.81615,0.0028225,0.0028225,0.0028225
89,8322.47,0.65537,0.40211,0.98105,0.99948,0.99945,0.995,0.95824,0.35936,0.18821,0.81521,0.00274,0.00274,0.00274
90,8416.3,0.65116,0.39274,0.97975,0.99896,0.99948,0.995,0.95911,0.35669,0.18607,0.81405,0.0026575,0.0026575,0.0026575
91,8511.38,0.64213,0.39217,0.97694,0.99896,0.99944,0.995,0.95941,0.35537,0.18488,0.81315,0.002575,0.002575,0.002575
92,8606.89,0.64077,0.39165,0.98296,0.99896,0.99894,0.995,0.95995,0.35394,0.18374,0.81283,0.0024925,0.0024925,0.0024925
93,8702.08,0.65897,0.3972,0.97819,0.99955,0.99792,0.995,0.96037,0.35305,0.1834,0.81262,0.00241,0.00241,0.00241
94,8797.74,0.6445,0.39394,0.97642,0.99948,0.99804,0.995,0.96072,0.35272,0.18255,0.81281,0.0023275,0.0023275,0.0023275
95,8893.31,0.65032,0.39674,0.98049,0.99956,0.99792,0.995,0.96038,0.35251,0.18172,0.81278,0.002245,0.002245,0.002245
96,8988.14,0.64521,0.40204,0.97585,0.99949,0.99792,0.995,0.9608,0.35132,0.18143,0.81252,0.0021625,0.0021625,0.0021625
97,9083.76,0.62331,0.37875,0.9684,0.99883,0.99896,0.995,0.96148,0.35189,0.18091,0.81261,0.00208,0.00208,0.00208
98,9179.28,0.64281,0.38953,0.9763,0.99886,0.99896,0.995,0.96129,0.35217,0.17964,0.81227,0.0019975,0.0019975,0.0019975
99,9273.9,0.6333,0.3876,0.97006,0.99896,0.99938,0.995,0.96128,0.35153,0.17857,0.81197,0.001915,0.001915,0.001915
100,9367.68,0.64116,0.3919,0.9761,0.99896,0.99942,0.995,0.96163,0.35062,0.17852,0.8117,0.0018325,0.0018325,0.0018325
101,9462.07,0.63541,0.38476,0.97722,0.99884,0.99896,0.995,0.96173,0.35036,0.1785,0.81131,0.00175,0.00175,0.00175
102,9557.08,0.62406,0.37371,0.96706,0.99958,0.99792,0.995,0.96145,0.35035,0.17845,0.81123,0.0016675,0.0016675,0.0016675
103,9651.19,0.63727,0.38127,0.97693,1,0.99829,0.995,0.96157,0.34973,0.17771,0.81081,0.001585,0.001585,0.001585
104,9744.99,0.62758,0.38023,0.97127,1,0.99826,0.995,0.96101,0.34987,0.17855,0.81079,0.0015025,0.0015025,0.0015025
